,Movie name,IMDB Rating,Description,Votes,Metascore,Total Duration (in Minutes)
106,Jujutsu Kaisen,8.7,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,37988.0,,24.0
107,Death to 2020,6.8,Take a look back at the mad glory of the year 2020 in this comedic retrospective.,37516.0,,70.0
108,Retfærdighedens ryttere,7.6,"Markus goes home to his teenage daughter, Mathilde, when his wife dies in a tragic train accident. It seems like an accident until a mathematics geek, who was also a fellow passenger on the train, and his two colleagues show up.",37510.0,81.0,116.0
109,The Croods: A New Age,7.0,"The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.",37239.0,,95.0
110,The Wrong Missy,5.7,"Tim thinks he's invited the woman of his dreams on a work retreat to Hawaii, realizing too late he mistakenly texted someone from a nightmare blind date.",37162.0,,90.0
111,Ludo,7.6,"From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.",37088.0,,149.0
112,His House,6.5,"A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.",36894.0,72.0,93.0
113,The Witches,5.3,A young boy and his grandmother have a run-in with a coven of witches and their leader.,36176.0,,106.0
114,Hunters,7.2,"In 1977, in New York City, a troubled young Jewish man bent on revenge is taken in by a secret group of Nazi hunters fighting a clandestine war against the cabal of high-ranking Nazi officials in hiding who work to create the Fourth Reich.",36113.0,,60.0
115,Happiest Season,6.6,"A holiday romantic comedy that captures the range of emotions tied to wanting your family's acceptance, being true to yourself, and trying not to ruin Christmas.",35941.0,69.0,102.0
116,To All the Boys: P.S. I Still Love You,6.0,Lara Jean and Peter have just taken their relationship from pretend to officially official when another recipient of one of her old love letters enters the picture.,35558.0,,101.0
117,The Babysitter: Killer Queen,5.8,"Two years after Cole survived a satanic blood cult, he's living another nightmare: high school. And the demons from his past? Still making his life hell.",35345.0,,101.0
118,#Saraitda,6.3,"The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.",34759.0,,98.0
119,Ragnarok,7.5,A small Norwegian town experiencing warm winters and violent downpours seems to be headed for another Ragnarok -- unless someone intervenes in time.,34736.0,,45.0
120,Hollywood,7.5,A group of aspiring actors and filmmakers in post-World War II Hollywood try to make it big - no matter the cost.,34348.0,,347.0
121,Devs,7.7,"A computer engineer investigates the secretive development division in her company, which she believes is behind the disappearance of her boyfriend.",34282.0,,409.0
122,Gunjan Saxena: The Kargil Girl,5.3,Inspired by the life of a fearless young officer who made history by becoming the first Indian female Air Force officer to fly in a combat zone during the 1999 Kargil War,34086.0,,112.0
123,The Great,8.2,"A royal woman living in rural Russia during the 18th century is forced to choose between her own personal happiness and the future of Russia, when she marries an Emperor.",34063.0,,45.0
124,The Half of It,6.9,"When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush.",34023.0,74.0,104.0
125,Escape from Pretoria,6.8,"Based on the real-life prison break of two political captives, Escape From Pretoria is a race-against-time thriller set in the tumultuous apartheid days of South Africa.",32575.0,,106.0
126,Aashram,7.4,"A duplicitous, aashram based, Indian Godman's good deeds serve activities criminal and unholy, such as rapes, murders, drugs, vote bank politics and forced male emasculation. The law and a few crusaders investigate to bring him to account.",32178.0,,45.0
127,The Night House,6.5,A widow begins to uncover her recently deceased husband's disturbing secrets.,31025.0,68.0,107.0
128,Possessor,6.5,An agent works for a secretive organization that uses brain-implant technology to inhabit other people's bodies - ultimately driving them to commit assassinations for high-paying clients.,30566.0,72.0,103.0
129,David Attenborough: A Life on Our Planet,9.0,One man has seen more of the natural world than any other. This unique feature documentary is his witness statement.,30345.0,72.0,83.0
130,One Night in Miami...,7.1,"A fictional account of one incredible night where icons Muhammad Ali, Malcolm X, Sam Cooke, and Jim Brown gathered discussing their roles in the Civil Rights Movement and cultural upheaval of the 60s.",30276.0,83.0,114.0
131,Bando,5.5,"A zombie virus has in the last 4 years spread to all South Korea. 4 Koreans in Hong Kong sail through the blockade to Incheon for USD20,000,000 on a truck.",29782.0,,116.0
132,On the Rocks,6.5,A young mother reconnects with her larger-than-life playboy father on an adventure through New York.,29781.0,73.0,96.0
133,Mignonnes,3.2,"Amy, an 11-year-old girl, joins a group of dancers named ""the cuties"" at school, and rapidly grows aware of her burgeoning femininity - upsetting her mother and her values in the process.",29755.0,67.0,96.0
134,Special OPS,8.7,"The story through the eyes of Himmat Singh is based on the inspiration was taken from Nineteen Years of nationally significant events, several espionage missions were undertaken by India in the last two decades.",29380.0,,49.0
135,The Dissident,7.9,"When Washington Post journalist Jamal Khashoggi disappears in Istanbul, his fiancée and dissidents around the world piece together the clues to a murder and expose a global cover up.",29047.0,81.0,119.0
136,"Quo vadis, Aida?",8.0,"Aida is a translator for the UN in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp.",29021.0,97.0,101.0
137,Gretel & Hansel,5.4,"A long time ago in a distant fairy tale countryside, a young girl leads her little brother into a dark wood in desperate search of food and work, only to stumble upon a nexus of terrifying evil.",29003.0,64.0,87.0
138,Into the Night,7.1,"When radiation from the sun causes a global disaster on Earth, survivors on an overnight flight from Brussels race from city to city trying to stay ahead of the sun's rays by remaining in the cover of night.",29000.0,,
139,The Kissing Booth 2,5.7,"In the sequel to 2018's THE KISSING BOOTH, high school senior Elle juggles a long-distance relationship with her dreamy boyfriend Noah, college applications, and a new friendship with a handsome classmate that could change everything.",28837.0,,134.0
140,The Christmas Chronicles: Part Two,6.0,"Kate Pierce, now a cynical teen, is unexpectedly reunited with Santa Claus when a mysterious troublemaker threatens to cancel Christmas - forever.",28776.0,,112.0
141,My Spy,6.4,"A hardened CIA operative finds himself at the mercy of a precocious 9-year-old girl, having been sent undercover to surveil her family.",28633.0,,99.0
142,Cursed,5.9,A teenage sorceress named Nimue encounters a young Arthur on her quest to find a powerful and ancient sword.,28368.0,,60.0
143,WolfWalkers,8.0,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.,28134.0,87.0,103.0
144,The Mandalorian,9.4,The Mandalorian travels to a world ruled by a ruthless magistrate who has made a powerful enemy.,27999.0,,45.0
145,All the Bright Places,6.5,"The story of Violet and Theodore, who meet and change each other's lives forever. As they struggle with the emotional and physical scars of their past, they discover that even the smallest places and moments can mean something.",27574.0,61.0,107.0
