,Movie name,IMDB Rating,Description,Votes,Metascore,Total Duration (in Minutes)
7541,Bull,8.0,"Bull represents an idealistic and flamboyant judge who is indicted for Obstruction of Justice for allowing a witness to avoid FBI agents who have arrived to arrest her, but her own outspokenness annoys the judge of her own case.",198.0,,43.0
7542,Next,7.2,She saves Ethan from extreme danger. Ty makes a difficult decision about his family's safety. LeBlanc battles his degenerative brain disease. C.M. and Gina escape the hospital.,198.0,,44.0
7543,Trying,8.4,"Despite the added irritation of a new roommate, it's time for Nikki and Jason to face the adoption panel.",198.0,,
7544,"Roswell, New Mexico",8.3,"After uncovering a cryptic message from the past, Alex, Isobel, Max, Michael and Maria set out in search of answers; Cameron encourages Liz to reach out to someone from her past after Auturo gets detained.",198.0,,42.0
7545,On My Block,7.7,"After being snatched off the street, Monse, Jamal, Ruby and Cesar come face to face with their kidnapper, who makes them an offer they can't refuse.",198.0,,28.0
7546,The Conners,7.0,"Becky thinks that Jackie's new friend, a supplier, is taking advantage of them; Darlene is thrilled when Harris gets into Central Illinois State, but Harris might have found a better offer; Dan finds himself in an embarrassing situation.",198.0,,22.0
7547,Dare Me,7.3,"As Addy gets closer to Colette, Beth takes drastic action to regain control of the squad.",198.0,,42.0
7548,The Spanish Princess,7.7,"With a powerful alliance with Spain and an heir sleeping in his crib, what could go wrong for glamorous royal couple Catherine and Henry?",198.0,,59.0
7549,Long Lost Sister,5.5,"After the death of her estranged sister Nikki, with whom she hadn't seen since they were separated in foster care, Carly is surprised to learn that she is named in Nikki's will as guardian ...                See full summary »",198.0,,86.0
7550,The Ranch,7.9,"As Colt battles the elements, he leaves Abby a poignant message. Armed with a new perspective, Beau surprises Joanne.",197.0,,
7551,The Screaming Silent,2.8,"Desperate to make the film that will crown him the next Tarantino, young filmmaker Kurt Michaels travels 8000 miles to the outback of Tasmania.",197.0,,107.0
7552,Smertelniye illyuzii,5.6,"Three brother magicians are presenting their new magic show that will make them world wide famous stars. But everything goes not according to plan, when someone kidnapped their assistant ...                See full summary »",197.0,,108.0
7553,A Gruta,3.1,"The only one survivor of a mysterious murderer that killed his wife, friends and the tourism guide who leaded them through a interdicted grotto, a boy become the only suspect to make the ...                See full summary »",197.0,,99.0
7554,Goodbye Seventies,3.9,"Represents the plight of gay men in the 70's and 80's. The AIDS epidemic is not washed over to make it palatable but I fear it sheds a negative light on the promiscuity of the era. There is nudity, sexual situations, smoking & drugs!",197.0,,92.0
7555,Chef's Table: BBQ,8.6,"Custodian by day, pitmaster by night: Meet 85-year-old Tootsie Tomanetz, whose Hill Country barbecue has made her a legend in Texas and beyond.",197.0,,
7556,Heroes,8.9,"The Refornment Movement of 1898 resulted in the ""Six Heroes"" dying. Huo Yuan Jia, who was filled with patriotic enthusiasm, had been eager to participate.",197.0,,45.0
7557,Canada's Drag Race,6.7,Add a Plot,197.0,,
7558,Schlingensief - In das Schweigen hineinschreien,7.1,"Bettina Böhler creates a memorial to the director Christoph Schlingensief on the 10th anniversary of his death, a portrait of the filmmaker's work and influence.",197.0,,124.0
7559,Most Dangerous Game,7.4,Not all games are fair. Dodge learns a painful lesson when it's revealed that the hunters have a secret advantage.,197.0,,8.0
7560,Cursed Films,6.7,"A series of unfortunate events plague the cast and crew during the making of The Omen, raising concerns that the film might be cursed by the devil himself.",197.0,,27.0
7561,Most Dangerous Game,7.6,The stakes get higher the longer Dodge survives. He tries to blend in at a hockey game while Valerie digs deeper into the bank deposits.,197.0,,9.0
7562,Most Dangerous Game,7.3,"Dodge tries to find sanctuary in a new location. Meanwhile, Valerie questions the source of newfound money in her bank account.",197.0,,7.0
7563,Better Things,7.4,"Sam meets her friends for Father's day, and each say how they broke up with their partner. Phil and Frankie go out to a Persian restaurant. The girls have a sisterly talk and Sam feels left out.",197.0,,
7564,Veneno,8.4,"After the end of the 'Mississippi' first, and the 'Pelícano' later, Cristina is seen outside the world of television. After touring Spain doing small-time bowling, Angelo will lead her by ...                See full summary »",197.0,,54.0
7565,Selena: The Series,7.2,"Amid financial strife, Abraham Quintanilla prioritizes his 8-year-old daughter Selena's musical talent and has her start a band with her siblings.",197.0,,40.0
7566,Last Man Standing,7.9,"Mike helps Vanessa deal with empty nest syndrome; Kristin announces her pregnancy to the family, unintentionally upsetting Mandy.",197.0,,22.0
7567,Sherlok v Rossii,5.8,"Sherlock Holmes follows the trail of Jack the Ripper, who slashed several women in London and left a special message for the detective on each of the murder sites, leading Sherlock to the ...                See full summary »",198.0,,48.0
7568,"Selíni, 66 erotíseis",6.4,"After years of distance, Artemis has to get back to Athens due to her father's frail state of health. Discovering her father's well-kept secret allows Artemis to understand her father, in a...                See full summary »",197.0,,108.0
7569,Tiny Pretty Things,6.8,"Ramon's new ballet creates controversy - and opportunity. Bette goes to extremes to hide her injury, while Oren wrestles with his own secrets.",197.0,,57.0
7570,Deputy,7.5,"While enforcing an unsanctioned raid on a human trafficking ring in Los Angeles, Bill finds an old informant of his who is in trouble.",197.0,,42.0
7571,Dispatches from Elsewhere,7.6,Fredwynn takes matters into his own hands but he needs his teammates to move on. He searches for the next clue and asks the gang for help; they take it too far in their search for answers leading them somewhere unexpected.,197.0,,43.0
7572,Star Trek: First Frontier,5.8,"The story of the initial launch of the Starship USS Enterprise in 2245 under the command of Captain Robert April with his wife, Commander Sarah April.",196.0,,85.0
7573,Night Into Day,4.4,A couple in the middle of a divorce are stuck together on the outskirts of a nuclear strike in Los Angeles.,196.0,,78.0
7574,XL: The Temptation of Christ,4.8,"Jesus Christ, The Son of God, embarks on a 40 day self-imposed exile to prepare for His earthly mission to save humanity by dying on the cross to atone for the sins of the world. Satan tempts Christ to sin and abandon His mission.",196.0,,98.0
7575,Lift Like a Girl,7.9,"With the guidance of her relentless coach, a teen weightlifter emerges from a scrappy training camp in Egypt to compete at the championship level.",196.0,,92.0
7576,Painkiller Already,9.8,"Painkiller Already (PKA) is a weekly podcast hosted by WoodysGamertag, FPSKyle, and MurkahDurkah.",196.0,,
7577,The Way We Keep Dancing,6.5,"The Kowloon Industrial District is home to many of Hong Kong artists, including rapper Heyo, YouTuber Ah Leung, rising star Hana and Dave the dancer. However, the government is preparing ...                See full summary »",196.0,,129.0
7578,Gangs of Filmistan,3.8,"Welcome to Bhindi Bhai's house of comedy. As his tenants try to impress him with the funniest Bollywood spoofs, a heavy dose of entertainment is guaranteed.",196.0,,24.0
7579,Física o química: El reencuentro,6.9,The old classmates of the Zurbaran school reunite in the wake of a secret that they all kept and has greatly affected their lives.,196.0,,
7580,WWE: SummerSlam,6.4,"As it sizzles, Bray Wyatt enters the zone, Mysterio has returned, and outcomes will be conquered, watch as the WWE Stars perform in SummerSlam.",196.0,,185.0
7581,Boruto: Naruto Next Generations,7.1,"Boruto dreams of when he defeated Momoshiki and it causes him to lose focus on a mission. Later, when the Leaf Village expects a visit from the Land of Fire's Feudal Lord, Boruto and his friends meet his spoiled son, Tento Madoka.",196.0,,
7582,Oh Millie,8.0,"An animated music video set in the universe of Helluva Boss (2019), where Moxxie sings about how much he loves Millie.",196.0,,2.0
7583,Daughter Dearest,5.1,"Rebecca, a respected teacher at a private girls' school, has her life turned upside down when a new scholarship student arrives who might be the daughter she gave up for adoption 17 years ago.",196.0,,87.0
7584,The Goop Lab,3.4,"Going from real vulvas to true vulnerability, Gwyneth and the team plunge into the topic of women's pleasure, guided by sex educator Betty Dodson.",196.0,,36.0
7585,Black Clover,8.4,"Asta manages to escape with Noelle and Secre. Nozel and Fuegoleon arrive, causing the Believers to try attacking them; unfortunately this summons a dragon from the strong magic region.",196.0,,
7586,"Sex, Explained",6.9,"Labor pains. Delivery trauma. The miracle of childbirth is difficult under the best of circumstances. Why is it so tough, and how can it be made better?",196.0,,26.0
7587,"Sex, Explained",7.0,Where do babies come from? Medical advances mean more and better reproduction options. So why do so many people still struggle to conceive a child,197.0,,24.0
7588,Power Book II: Ghost,6.8,"Tariq fears a violent collision course with Cane, but his hands are tied by letting Brayden in on the arrangement with the Tejadas.",196.0,,62.0
7589,Tell Me a Story,7.6,"Tucker and Maddie frantically try to escape Olivia's clutches; Simone grows more suspicious of Derek; Ashley, Rebecca, and Beau prepare for her comeback concert; A vindictive Taylor sets her plan in motion.",196.0,,51.0
7590,Black Narcissus,6.6,"With the help of Mr. Dean, Sister Clodagh and the Sisters of St. Faith run a school at the mysterious palace of Mopu in the Himalayas; but some believe the place is haunted.",196.0,,54.0
7591,Tell Me a Story,7.8,Beau is determined to track down Ashley's assailant after the shootout; Jackson confronts Veronica about Simone's disappearance and gets help from an unlikely ally; Olivia makes her escape.,196.0,,49.0
7592,Wentworth,8.9,"On the edge of breaking point Allie finally faces Ferguson in an intense confrontation that brings back memories from years past. As Judy's father rejects her, she snaps with dangerous consequences.",196.0,,47.0
7593,A Family's Nightmare,5.1,"Allison Winters' world falls apart when her husband dies of a sudden heart attack, announcing on his death bed that he has a secret family. Six months later such family arrive on Allison's doorstep, determined to be a part of her life.",196.0,,
7594,Two Weeks to Live,7.1,"After kidnapping her daughter, Tina and Kim must return to the mansion to stop an execution. The race is on to escape before they face the bullet themselves. As Nicky attempts to repair his relationship with Kim, Jay makes a discovery.",196.0,,23.0
7595,The L Word: Generation Q,8.2,"Bette is conflicted about old feelings, Shane is tested by her relationship with Quiara, Alice is blindsided at home and work. Dani, busy on the election, Sophie feels relieved to have Finley around. Micah introduces José to his mother.",196.0,,55.0
7596,Alguien tiene que morir,6.6,"Amparo and Gregorio resort to extreme measures to silence the scandal, but the revelation of long-hidden secrets has always been a discord between the Falcon family.",196.0,,52.0
7597,Storm Over Brooklyn,7.1,"A look at the events surrounding the murder of Yusuf Hawkins, a black teenager in Brooklyn, who was killed in by a group of white youths.",195.0,,100.0
7598,Divine,5.3,"Tells the story of insecure Gregor, who first has to fly to Vatican City in order to overcome his fears, report on the election of the pope and to fall in love.",195.0,,91.0
7599,Yuukoku no Moriarty,8.5,"Due to financial problems, Consultant detective Sherlock Holmes must find a suitable flatmate, however, the Police have to arrest him in suspect of murder.",195.0,,
7600,Last Week Tonight with John Oliver,7.7,"With the 2020 election underway, John Oliver explains how the Trump administration has handled asylum seekers over the past four years, why it matters, and what we can do about it.",195.0,,30.0
7601,Diba,5.3,"Due to that accident, Yi-Young loses her memory and Soo-Jin goes missing. Under that situation, Yi-Young regains her diving skills, but her strong desire to keep her position as a diva and Soo-Jin's disappearance push her into madness.",195.0,,84.0
7602,Tiny World,8.6,Discover how the incredible little animals of the African savannah survive as the largest migration on Earth barrels their way.,195.0,,30.0
7603,Coronation,6.4,"A team directed by Activist and artist Ai Weiwei films inside the hospitals, homes, and quarantine sites of Wuhan, the first city hit in the global COVID-19 pandemic.",195.0,,113.0
7604,Boruto: Naruto Next Generations,7.5,"Boruto has been given a mission to guard Tento during his stay at the Leaf Village. While Boruto guards him, Tento asks for Boruto to teach him ninjutsu. Boruto agrees, hoping the training will give the boy an attitude adjustment.",195.0,,
7605,Souterrain,7.1,"Maxime is a miner with a troubled past. After an explosion at his mine, Maxime attempts to find redemption by saving his fellow miners.",195.0,,97.0
7606,Permette? Alberto Sordi,6.0,Add a Plot,195.0,,100.0
7607,Dix pour cent,7.3,"While Gabriel scrambles to keep Franck Dubosc on board, Andréa cozies up to a confidant of Dany Boon's, and Nathalie Baye offers a lesson in feng shui.",195.0,,54.0
7608,Nomery,5.5,An absurd and strict dystopian society is suddenly disrupted when its leader is overthrown.,195.0,,104.0
7609,NCIS: Los Angeles,7.6,CIA Officer Veronica Stephens (Dina Meyer) asks the NCIS team for help when an agricultural engineer Hetty asked her to bring to the United States disappears.,195.0,,39.0
7610,Poisoned Love: The Stacey Castor Story,5.9,"Stacey Ruth Castor weathered the storm of her first husband's death and managed to find love again with her boss, David. But when David is discovered dead of an apparent suicide, the police...                See full summary »",195.0,,92.0
7611,"Roswell, New Mexico",8.2,Max sets out to find Cameron after learning that she's gone missing; Michael grows concerned about Maria after a surprising discovery about her family history; Rosa makes a decision about her future.,195.0,,42.0
7612,Father Brown,7.9,Flambeau seeks Father Brown's help to get rid of an unwanted rival.,195.0,,44.0
7613,Big Freaking Rat,2.8,Add a Plot,195.0,,85.0
7614,One Day at a Time,8.4,"After a census taker comes to the house, the Alvarez family reflects on their relationships, and what else the future may, or may not, have in store.",195.0,,
7615,Hightown,7.5,Jackie and Junior struggle to cope in the wake of a traumatic event. Ray's investigation picks up speed. Ray is there for Renee when she really needs him.,195.0,,57.0
7616,Awkwafina Is Nora from Queens,6.6,"Nora takes a job at a real estate office and becomes a hyper competent assistant with a little help from Adderall, alienating her online gaming friends in the process.",194.0,,21.0
7617,Noughts + Crosses,6.8,"London, Albion. Sephy, the Cross daughter of powerful Home Secretary Kamal Hadley, and Callum, the Nought son of their housekeeper Meggie McGregor, reunite, and a spark is ignited.",194.0,,
7618,Duncanville,5.8,Duncan is an average 15-year-old boy with family and friends helping him navigate through adolescence.,194.0,,22.0
7619,Illuminate,3.8,A luminous force within Mount Shasta may hold clues behind the disappearance of Emma Rose's brother and grandfather. Emma discovers her unique ability to astral travel back through time which may unlock the mystery to their disappearance.,194.0,,61.0
7620,Clapboard Jungle,6.4,"Following five years in the life and career of an independent filmmaker, supported by dozens of interviews, posing one question: how does an indie filmmaker survive in the current film business?",194.0,,98.0
7621,Animaniacs,7.7,The Warners fight a bunny infestation; Brain creates a robot son; A new app is born.,194.0,,24.0
7622,Bull,7.5,Bull assists Chunk as he represents a woman accused of killing a guard while trying to escape during a prison transport; Chunk argues that she is being falsely accused by a guard who attempted to sexually assault her during the transport.,194.0,,42.0
7623,Fruits Basket,9.5,Yuki loses himself in thought as he remembers a dark memory from his childhood.,194.0,,24.0
7624,Wizards,8.3,"After pushing a broom for centuries, Merlin's apprentice, Douxie, springs into action when the great sorcerer asks him to find the Guardians of Arcadia.",194.0,,24.0
7625,The Vow,7.1,"Mark, Bonnie, Sarah and Nippy strategize with Catherine Oxenberg about how to get her daughter, India, out of DOS, even though she wants to stay.",194.0,,58.0
7626,Naked Nanga Nagnam,3.1,Story of a married couple in whose house a servant boy works. The couple are constantly fighting and on the verge of a break-up and then one day something happens which puts all 3 of them through a dizzying tension.,194.0,,22.0
7627,As you sleep the world empties,7.7,"An epidemic has hit mankind. People from all ends of the Earth are asleep, and no one knows when they'll wake. Few are those who are not infected; among them, a boy who fell in love with a ...                See full summary »",194.0,,13.0
7628,Most Dangerous Game,7.8,Dodge gets into trouble in the projects and learns some game-changing information about his condition.,194.0,,9.0
7629,Bella,7.5,"Greece 1986-1987, a little before the fall of State Socialism and just at the end of the Cold War. In front of Anthi's eyes the country is changing, the world is changing and with them Christos seems to be changing too.",194.0,,24.0
7630,NCIS: Los Angeles,7.8,"While Sam investigates the murder of an Iranian exile working to overthrow the current regime, he must also try to save Agent Roundtree (Caleb Castille), a new agent who's having an ...                See full summary »",194.0,,42.0
7631,NCIS: Los Angeles,7.6,"When Fatima is captured while on a mission and held for ransom, Callen and Sam enlist a deep undercover CIA agent to help get her back.",194.0,,42.0
7632,Camp Blood 8: Revelations,2.4,"When a team of volleyball players get lost in the woods, they encounter a killer clown and his psychotic exhibitionist mother. Will he kill them all or will they find a way to defeat him?",194.0,,82.0
7633,The Eric Andre Show,8.6,"Eric welcomes Omarion and celebrity psychic Tyler Henry and feeds bugs to musical guest Machine Gun Kelly. Eric transforms into the Bench Mensch, a Jewish bench who helps people move.",194.0,,11.0
7634,Veneno,8.7,"In 2003, Cristina Ortiz entered prison, in a men's room. This will lead her to relive her darkest traumas and put her essence aside in order to stay alive in such a hostile universe. ...                See full summary »",194.0,,49.0
7635,Tell Me a Story,7.6,Ashley's instincts tell her she's not out of danger yet and Beau takes action to make her feel safe; Simone and Jackson attend a ball to confront Veronica; Maddie has her doubts about Tucker; Olivia begins to understand her captor.,194.0,,43.0
7636,Deputy,8.0,When a gunman walks into the medical wing of the Los Angeles Correctional Facility - where Paula is volunteering - Bill has the entire Sheriff's department look for a way to get her out. ...                See full summary »,194.0,,42.0
7637,Izzy's Koala World,8.0,Follow 11-year-old Izzy and her veterinarian mother as they rescue koalas and form remarkable friendships with animals on their Australian island.,194.0,,
7638,Gullregn,6.5,Indiana lives in a council estate and makes her living preying on the welfare system. In her small private garden she tends to her award winning tree. When her only son turns up with a foreign girlfriend - Indiana's world is upended.,194.0,,112.0
7639,The Baby-Sitters Club,7.5,"Claudia wants to go to the Halloween dance with a boy she likes, but her responsibilities must come first.",193.0,,26.0
7640,Éléonore,4.7,"Under the pressure of her mother and sister, failed-writer Eleonore Berthier undergoes a complete makeover and gets hired as an assistant in a publishing house specializing in erotic romances.",193.0,,84.0
7641,Billie Eilish: Therefore I Am,6.8,"Official music video for ""Therefore I Am"" by Billie Eilish.",193.0,,5.0
7642,Winter Orbit,8.1,"Winter Orbit is the fourth installment of the 51 Paintings Suite which addresses the COVID-19 pandemic through slow cinema, referencing artworks made during the Black Plague era re-contextualized into contemporary spaces.",193.0,,60.0
7643,Ariana Grande: Positions,7.5,"Official music video for ""Positions"" by Ariana Grande.",193.0,,3.0
7644,Eiga Entotsumachi no Puperu,6.7,"A factory town is covered by chimney smoke, and as the townspeople haven't see the sky in centuries, they no longer believe that stars exist. A chimney sweep and a friendly monster named Poupelle decide to prove that stars are real.",193.0,66.0,100.0
7645,8ight After,3.0,"After discovering a secret box in the wall of her house, a demonic presence begins terrorizing a YouTuber, at 8 after 1:00am every night.",193.0,,98.0
7646,Justice High,6.2,"Today is righteous Chae-young's first day of her transferred school after beaten a bully to nothing. Despite the dad's warning, she saves her classmate Jong-gu from bullies again. Fascinated by her, Jong-gu asks how to be strong like her.",193.0,,112.0
7647,Detroit Evolution,6.7,"It's been one year since Markus freed the androids of Detroit. The most advanced android ever created, Nines, has evolved past his initial programming as a ruthless hunter, and now protects...                See full summary »",193.0,,
7648,"Coronavirus, Explained",8.2,"The race is on to develop a COVID-19 vaccine in record time. From testing to timetables, here's what to expect on the unprecedented road ahead.",193.0,,23.0
7649,Das Boot,7.5,"Wrangel starts pursuing his rival Reinhartz with U-612. In New York, lawyer Berger receives information that could enable Hoffmann's return trip. Forster searches for the Goldblatts.",193.0,,58.0
7650,Boruto: Naruto Next Generations,7.8,"Himawari is unsure whether or not she wants to become a ninja. When the Ninja Academy holds a trial session for those interested, Himawari attends despite her uncertainty.",193.0,,
7651,David Batra: Elefanten i Rummet,5.9,Swedish comedian David Batra gets personal as he playfully details the perks and pitfalls of being married to a recently resigned political leader.,193.0,,77.0
7652,Soulmates,6.5,"After waiting for years, Caitlin gets matched with a handsome doctor who harbors a dark secret.",193.0,,43.0
7653,"Roswell, New Mexico",8.2,"Having realized that a deadly threat has infiltrated CrashCon, and with Max facing immediate danger, Liz and Isobel must make a heart-wrenching choice.",193.0,,42.0
7654,Deo Geim: 0shireul Hyanghayeo,7.2,"When Kim Tae Pyung looks into a person's eyes, he can see the moment preceding their death. He partners with Detective Seo Joon Young to solve a serial murder case.",193.0,,35.0
7655,Most Dangerous Game,7.4,Hard times can bring out the worst in us all. Dodge continues to fight for his life in the face of what he's become. But how long can he keep it up?,193.0,,10.0
7656,Power Book II: Ghost,6.5,"As the heat is turned up on campus, Tariq isn't trying to be left in the cold with Lauren or Diana.",193.0,,62.0
7657,Alef,7.6,"As ropes begin to stretch between Kemal and Settar, Settar pursues dangerous information.",193.0,,
7658,Norsemen,7.6,Orm is tricked into freeing Bjørn and pays a humiliating price - but he stays alive by trading information about a map of a land to the west.,193.0,,
7659,NOS4A2,7.3,Bing Partridge has some questions for Charlie Manx. Manx revisits his difficult childhood.,193.0,,47.0
7660,Breeders,7.7,"Paul and Ally are thrilled that Sprout the family gerbil has finally died, but explaining loss to Luke and Ava is more difficult than they thought as grief manifests itself in mysterious ...                See full summary »",193.0,,26.0
7661,Hightown,7.8,"When Jackie realizes Junior's involved with Sherry Hunter's murder, she enlists Ray and the entire CCINU to track him down -- before Frankie has him murdered. Renee finds herself deeply questioning her budding relationship with Ray.",193.0,,57.0
7662,Alguien tiene que morir,7.1,"Rumors about the alleged relationship between Gabino and Lázaro, fueled by a spiteful Cayetana, are red hot. Mina tries to help them escape.",193.0,,48.0
7663,The Liberator,8.1,"A rebuilt E Company ships off to France. Initially it's a welcome break, but it soon brings another impossible mission. Sparks receive high honors.",192.0,,46.0
7664,The Liberator,8.3,"As the allies close in on increasingly desperate German forces, the Thunderbirds bear witness to the atrocities of their enemy, and their fellow troops.",192.0,,56.0
7665,The Ranch,7.1,"Luke's friend from the service offers him a job. Meanwhile, trouble brews with the co-op. Maggie tells Beau that she's met someone new.",192.0,,
7666,The Ranch,7.4,"To celebrate their last Thanksgiving on the ranch, Colt and the guys go on a turkey hunt. Mary checks into rehab.",192.0,,
7667,Bob Rubin: Oddities and Rarities,4.4,"Netflix stand up special featuring astonishingly surreal comedian, Bob Rubin. ""The Rube"" (as his fans like to call him) brings the audience on a wild ride not soon forgotten and doesn't ...                See full summary »",192.0,,52.0
7668,Ice House,4.2,"Ice House follows the story of two friends, Grant and Wayne, on one night's excursion to a fish house on a frozen Minnesota lake for an evening of camaraderie. What seems to be a harmless ...                See full summary »",192.0,,108.0
7669,Killer Weekend,2.7,"A sexy young coed enjoys a lavish lifestyle thanks to a sugar daddy dating app, accessing their money by having them killed. She soon meets her match, however, in her new rich, handsome boyfriend - who happens to also be a serial killer.",192.0,,83.0
7670,Seutateueob,8.1,"To preserve Dal Mi's past and to support her future, Choi Won Deok asks Han Ji Pyung to pull off an impossible task.",192.0,,83.0
7671,Efterforskningen,7.7,"Chief Prosecutor Jakob-Buch Jepsen makes it clear to Jens Møller that they need more firm evidence to bring charges in the case. Otherwise, they risk the accused walking free.",192.0,,44.0
7672,Gençligim Eyvah,5.5,"Arif and Zekeriya are two rival kebabs of the same street. The arrival of two Italy, Zola and Çavi, in the neighborhood; Arif's and Zechariah's lives could go down hill. Çavi comes to the ...                See full summary »",192.0,,130.0
7673,El desorden que dejas,6.8,A guilt-ridden Raquel must decide how to respond to the blackmail involving her upcoming exam. Iago starts to get to know Viruca outside of class.,192.0,,41.0
7674,I Am a Killer,7.8,"In 1996, David Barnett murdered his adoptive grandparents, stabbing them over 20 times. Later he revealed years of abuse at the hands of his father.",192.0,,
7675,For Life,8.2,Aaron finally gets his chance to argue for his retrial in court but it's thwarted by the return of prison warden Cyrus Hunt.,192.0,,43.0
7676,The Goes Wrong Show,8.3,"This week the gang turn their attentions to a period romance, a classic tale of family, duty and love across the class divide. A beautiful set has been built to replicate a grand country ...                See full summary »",192.0,,29.0
7677,The Goldbergs,7.1,"Adam and Murray don't want to go on a camping trip, so father and son create a film faking it; Erica joins an all-girl a cappella group and learns an important lesson after taking over the group.",192.0,,21.0
7678,For Life,8.0,"Aaron pushes to represent longtime inmate Easley Barton, hoping that winning this 23-year-old case against Maskins will strengthen his own.",192.0,,43.0
7679,Most Dangerous Game,7.5,"A bad move brings Dodge to the brink of the Detroit boundary. He's determined to bring the fight back to the city, but the hunters are right on his heels.",192.0,,9.0
7680,The Goldbergs,7.0,Beverly discovers Murray is actually a year younger than they knew so she plans a do-over at celebrating his 50th birthday; Coach Mellor attempts to prepare Adam for pickleball tryouts.,192.0,,21.0
7681,RWBY,7.6,"With Salem's forces drawing closer, and the General's orders for their arrest, our heroes are forced to fight on all fronts to save the city Ironwood has abandoned.",192.0,,18.0
7682,NOS4A2,7.2,"Vic and Chris take the Shorter Way to a junkyard; Chris loses his temper; Bing leverages a secret to seek forgiveness; Vic, Lou, Maggie, and Chris hatch a plan; Tabitha impresses her boss.",192.0,,43.0
7683,Wentworth,8.5,"Judy incurs the wrath of Ann through Linda after she sabotages her presentation, while Allie is nervous when she has to contend with Lou's army of supporters and Ruby goes on the hunt to find Rita.",192.0,,46.0
7684,Will & Grace,7.4,"Karen celebrates her baseball team's championship; Will and Grace go to an open house, which leads to a conversation about their future living arrangement; Jack has to decide if he wants to stay in the city to pursue his dreams.",192.0,,22.0
7685,DNA Killer,4.8,"On Sarah's birthday, her best friend Victoria gives her a genetic testing kit as a gift so she can learn more about her family's lineage. But that night, Victoria is tragically killed. ...                See full summary »",192.0,,85.0
7686,Weekend,4.8,"Four friends, trapped in a mountain hut, isolated by a blizzard, have one chance to save themselves: find out which of them is guilty of committing a crime in the past. WEEKEND is a psychological thriller playing between past and present.",192.0,,90.0
7687,All American,8.3,"With Spencer in bad shape, both the Crenshaw and Beverly Hills community rally around him to show support; Spencer asks Coop to do him a favor, but things go from bad to worse.",192.0,,42.0
7688,Lone Wolf Survival Kit,4.3,"After witnessing a woman's boyfriend commit murder outside his home, Jonathan, a man who lives so alone that he hasn't left his house in two years, is drawn out into the dangerous world to save her.",191.0,,100.0
7689,T11 Incomplete,4.6,"A visiting home health aide and recovering alcoholic strives to rebuild her broken life, only to have it fall apart once again when she falls in love with her young, paraplegic patient, and betrays her trust.",191.0,,105.0
7690,Mr. Weekend,4.4,Bad luck follows good when a low level LA bookie finds five pounds of crystal LSD.,191.0,,
7691,The Reason,6.0,"When a mysterious man appears in a small town, unexplained miracles start to occur, changing the lives of everyone he meets. There's a mother whose five-year-old boy has leukemia, two ...                See full summary »",191.0,,82.0
7692,Polyot,7.1,Six colleagues from a small real-estate firm accidentally miss their mutual flight thus miraculously avoiding the plane crash. The eluded disaster triggers the insight that none of them had...                See full summary »,191.0,,48.0
7693,IMDb Cheat Sheet,9.3,"There's a lot of twists and turns to keep track of in ""Dark."" Can't remember them all? Here's your Cheat Sheet for seasons 1 and 2, before you watch season 3!",191.0,,
7694,Great Pretender,8.8,"The pressure is on as everyone watches Makoto make the first batch of Sakura Magic, but with Agent Dickins in his ear, things take a very serious turn.",191.0,,
7695,Tooning Out the News,6.2,"TOONING OUT THE NEWS features a cast of cartoon characters lampooning top news stories and interviewing real-world guests. New five- to seven-minute segments are available Tuesday through Friday, culminating in a weekly full episode.",191.0,,7.0
7696,NCIS: Los Angeles,7.3,The team assists the DOJ in the investigation of an arsonist who targets an FBI agent house that's protecting a political activist seeking asylum; Eric deals with the aftermath of Nell leaving the team.,191.0,,43.0
7697,Bull,8.1,Bull and the team help Taylor bring a civil suit against the woman who killed Taylor's friend in a hit-and-run when the driver evades criminal charges by claiming diplomatic immunity.,191.0,,43.0
7698,High School Girls,4.1,The story follows five teenage girls as they try to discover themselves but they face a lot of trouble and difficulties during high school.,191.0,,100.0
7699,El Cid,6.9,"Young Ruy has just been named squire to prince Sancho, the eldest son of King Fernando of Leon. One night, he unveils a plot to dethrone the King, in which someone he loves is involved.",191.0,,
7700,For Life,7.9,"Flashing back to the previous nine years of his incarceration, Aaron's journey from terrified novice prisoner to attorney and social crusader unfolds.",191.0,,43.0
7701,Kim's Convenience,7.7,"Appa is reluctant to have a house guest, but Umma is the one who ends up having problems with their visitor. Jung accuses Janet of being cold-hearted and Shannon tackles an office bullying problem.",191.0,,22.0
7702,The Baker and the Beauty,7.8,"Daniel and Noa's relationship takes off. During Lewis's unwanted birthday party for her, Daniel learns some of Noa's past. The Garcias receive an outrageous order from a food critic but they cannot reject it.",191.0,,
7703,Nackte Tiere,5.9,"Five young people in provincial Germany. They run into each other and away from each other. They kiss and they fight. It's their last winter together before they leave school, after that ...                See full summary »",191.0,,83.0
7704,Father Brown,7.8,Father Brown has to discover who is out to kill a tortured artist before it's too late.,191.0,,44.0
7705,Brassic,8.2,"Vinnie has been hiding out in his shed since faking his own death. But the gang need his help and try to lure him out of hiding with a new business proposition. Tommo has a chance to buy The Rat and Cutter, but needs cash and fast.",191.0,,44.0
7706,"Wanda, mein Wunder",6.6,"Wanda, a Polish woman, takes care of 70-year-old Joseph in his family villa on the lake. She is always there for him and also helps his wife Elsa. The work is poorly paid, but Wanda needs the money for her family.",191.0,,111.0
